m,mean_ret_bps,std_ret_bps,mean_vol
124,0.11740659366499548,4.242489303730187,126608.36467236467
125,-0.2655987076999507,4.544753008362694,130344.8660968661
126,0.21899293262057737,4.495318223529529,124840.72174738841
127,-0.1968353866224623,4.350107254971243,122075.74264007597
128,0.405383280738181,4.446908312831762,123836.87654320987
129,-0.18684759239811524,4.199656905437104,120347.70560303894
130,0.18398236924407793,4.506506859843238,122784.9420702754
131,-0.1776448557571369,4.368191675853909,127705.63437796771
132,-0.325232085522122,4.360818846776734,124769.40835707502
133,-0.0425598920135459,4.135969844554217,115929.78347578348
134,0.21827699471944761,4.170026286451398,116779.92782526115
135,-0.13520292241279036,4.4043205059133435,165083.10826210826
136,0.06525607993307513,4.551017886860119,116381.37226970561
137,0.048247242069890194,4.117718311709276,116650.96391263058
138,0.2042396014671841,3.886622511050893,113295.89458689459
139,-0.018248711457494075,3.843236453129101,116314.66191832858
140,0.14357756586242196,4.5940767529432485,124353.96011396011
141,-0.22468213429302067,4.181874497889723,112583.69325735992
142,0.3035750452104882,4.2489977089543345,115926.20037986705
143,-0.006733179198168789,4.40467093997596,117889.13010446343
144,-0.19305897141616044,4.0135182991763445,116645.9829059829
145,0.0878321787254866,3.9782462677688946,113633.83190883191
146,0.19129224787075597,4.324889234673481,120539.10731244064
147,0.024734720552488397,4.080821229347475,121992.2611585945
148,0.03758244327562606,3.9695025017298766,143980.97338403043
149,0.11636918643035551,3.6958103099370465,107047.43441064638
150,-0.32186235409104186,4.309997904377335,127012.55703422053
151,0.1072429684890359,4.5879042252340065,107702.70152091255
152,-0.04559994569852846,4.342164506740812,114593.27661596957
153,0.013727823463933211,4.357435657234561,113781.32034220532
154,-0.0017003777467693535,3.881821658824287,121026.74809885932
155,-0.21612492128296884,4.397784697878959,116266.35646387833
156,0.27807677460009184,4.117686655123245,110756.8174904943
157,-0.09373543770479315,4.254658813347617,113848.54847908745
158,0.11063619362940744,4.296566644318697,113312.60456273764
159,-0.2499432950847404,3.9840220971510645,114365.46863117871
160,0.17224353757927144,4.236169291681665,116351.71863117871
161,-0.12613337334671323,4.131874813819294,113773.52661596957
162,0.10249375662963546,4.023787300996257,109593.78897338403
163,0.21619990849192694,3.9725696867540123,111131.13688212927
164,0.3140657575652123,3.719480570820563,109990.65684410646
165,0.0670332798666567,4.353237913835303,114177.30798479088
166,0.011729381110217563,4.072312145558383,111991.2319391635
167,0.09472280086685643,4.119851759384315,108653.07040913416
168,-0.06957343403711855,3.868611129675179,110557.71360608944
169,-0.040128121420892886,3.8967032753619,111126.0951474786
170,-0.18683674488256283,4.085947845407457,113874.21122740247
171,-0.04663834998670169,3.9520775193367856,108822.30066603234
172,-0.3103674735176577,3.979587873663,104637.00856327308
173,-0.08696635636834289,3.8912269936441786,104093.68981921978
174,0.05900014301960143,3.6418486443904974,102503.5937202664
175,0.0006328057515247978,3.992724346581074,106738.5604186489
176,0.02342865973673235,3.6896701594511967,102052.16555661274
177,0.032628948107712726,3.9588786389326964,105425.81636536632
178,0.28714539062874883,3.7603812445466382,100114.11607992389
179,0.42707655220791574,3.426846075909315,100211.81351094197
180,-0.20190936965137377,4.061854642546883,104413.10180780209
181,0.1785501754935917,3.8917455654832773,103724.93523809523
182,0.20151790007385012,3.7039860490649175,101245.83142857143
183,-0.03954451644276139,3.7524975806905276,99614.69333333333
184,0.13227224819383104,3.678077169920732,102259.70666666667
185,-0.02254979279168813,3.7919059193257643,105638.54476190476
186,-0.11273084180541378,3.9827523152974162,100783.62952380952
187,-0.23955554445969088,3.6721563906442305,101374.89904761905
188,0.0875824979588475,3.5936296238724874,99856.33047619047
189,-0.16246815730251574,3.694119581862549,95978.91714285714
190,-0.03556161005717339,3.9098601325574576,101322.76
191,-0.15513617088666742,3.7590643376018167,96348.83238095239
192,0.09365291020322142,3.670284733515498,95394.28952380952
193,0.0888849179472179,3.5732973636538645,98427.06666666667
194,0.044134130799038704,3.4491570700216965,94670.35619047619
195,-0.039447258077515306,3.700322336053219,104835.96095238095
196,-0.43666476313744546,3.669761830244272,102085.51191611058
197,-0.32742520037287637,3.678183066823737,107079.61391801716
198,0.11535984667431419,3.4768327642584542,93987.0391221374
199,0.0642554431618765,3.427295837614822,95132.24141221374
200,0.20289706201578758,3.932523474712444,100794.49427480916
201,-0.10668845492607373,3.790904939644515,99599.86354961833
202,0.2512487622034701,3.767249930078572,98997.22614503816
203,-0.16459197110034904,3.6043105363832812,97536.79732313576
204,0.12355065206868278,3.4777070209269985,93835.1481835564
205,0.02440292161692847,3.5475431775975004,195112.44550669217
206,-0.320336870671851,3.6689013397297594,93619.37858508604
207,-0.03272540009573588,3.4291388689804165,95704.58891013384
208,0.006701657067404917,3.272029021504789,98231.44837476099
209,0.27489319990830563,3.2610025076592457,98492.29541108987
210,-0.26864644624308925,4.039443686041466,137012.82870813398
211,0.01981055573120483,4.4976108350101205,102244.90421455938
212,-0.10983484437714855,4.138552544226545,109208.23512476007
